"Points:0","Points:1","Points:2"
-0.13975,-0.0021257,-0.0076725
-0.14628,-0.019418,-0.011772
-0.13979,-0.021447,-0.018037
-0.11231,0.00019416,0.0010805
-0.13744,-0.033775,-0.0076642
-0.13668,-0.057217,-0.017989
-0.14018,-0.042862,-0.051403
-0.10524,-0.029987,-0.028771
-0.10894,-0.0076985,-0.0074202
-0.12333,-0.052654,-0.009672
-0.1165,-0.026156,-0.00052366
-0.14503,-0.010342,-0.010057
-0.13391,-0.00038633,-0.066861
-0.14593,-0.0054314,-0.045464
-0.14598,-0.011953,-0.03786
-0.14557,-0.039654,-0.045537
-0.12636,-0.00044004,-0.0055315
-0.13011,-0.021769,-0.0079921
-0.13399,-0.023841,-0.0085024
-0.14465,-0.0049821,-0.020952
-0.11991,-0.0074987,-0.0045853
-0.12412,-0.056606,-0.017573
-0.13015,-0.026227,-0.00062869
-0.10955,-0.026184,-0.018104
-0.14759,-0.0655,-0.02585
-0.14701,-0.025755,-0.0067283
-0.14295,-0.026642,-0.010056
-0.14072,-0.012139,-0.025423
-0.12673,-0.0092654,-0.019519
-0.13522,-0.0037888,-0.00089659
-0.13305,-0.028001,-0.052696
-0.14553,-0.040215,-0.043346
-0.14638,-0.037808,-0.059183
-0.14485,-0.03089,-0.026752
-0.14491,-0.037517,-0.012407
-0.13893,-0.0093906,-0.0037506
-0.11719,-0.037218,-0.018898
-0.14589,-0.0070323,-0.019966
-0.10679,-0.0005065,0.00056348
-0.12808,0.00087639,0.00062194
-0.13855,-0.0083222,-0.011787
-0.13435,-0.019174,-0.023533
-0.14214,-0.0042275,-0.011637
-0.13955,-0.0038663,-0.010376
-0.1316,-0.0061236,-0.0034744
-0.14315,-0.0065308,-0.00063809
-0.11888,-0.0060686,-0.0034596
-0.14525,-0.015714,-0.051765
-0.11514,-0.057321,-0.011525
-0.12515,-0.01679,-0.050485
-0.14575,-0.0014181,-0.00060376
-0.14467,-0.018784,-0.0038279
-0.14823,-0.0072509,-0.037342
-0.14208,-0.004395,-0.0026148
-0.14298,-0.050808,-0.034802
-0.10734,-0.0024698,-0.004067
-0.14241,-0.00073098,-0.00052409
-0.13984,-0.054364,-0.011709
-0.1357,-0.0059288,-0.027251
-0.13446,-0.033257,-0.028952
-0.14304,-0.026234,-0.0069078
-0.14433,-0.034558,-0.0005612
-0.12286,-0.0023689,-0.050597
-0.11005,-0.0029958,-0.031066
-0.14237,-0.0016548,8.8123e-05
-0.1477,-0.0091994,-0.061268
-0.12912,-0.0075842,-0.062736
-0.14864,-0.034615,-0.013064
-0.15128,-0.05388,-0.026327
-0.11738,-0.0072379,-0.0021712
-0.14825,0.00013969,0.00066831
-0.12372,-0.062338,-0.002357
-0.15332,-0.036116,-0.057117
-0.11355,-0.025491,-0.043364
-0.14472,-0.025105,-0.043195
-0.12037,-0.02553,-0.021769
-0.13192,-0.0015005,-0.013036
-0.15312,-0.034409,-0.050846
-0.13917,-0.017229,-0.016401
-0.14092,-0.012034,-0.063324
-0.13567,-0.062689,-0.022381
-0.13887,-0.0042644,-0.0058573
-0.14319,-0.013461,-0.002089
-0.13699,-0.0011489,-0.059415
-0.14591,-0.0081268,-0.0018645
-0.14411,-0.046257,-0.02384
-0.13497,-0.021765,-0.054105
-0.14739,-0.014887,-0.0085315
-0.12855,-0.0069889,-0.0078294
-0.14089,-0.028461,-0.0050932
-0.13955,-0.036868,-0.0077476
-0.14244,-0.01972,-0.028552
-0.1435,-0.036043,-0.027066
-0.12971,-0.0052659,-0.0090294
-0.14249,-0.0016824,-0.00010901
-0.14961,-0.054717,-0.014693
-0.12794,-0.015257,-0.0048942
-0.14283,-0.0026238,-0.0013998
-0.14446,-0.026021,-0.0422
-0.15066,-0.038876,-0.053899
-0.12963,-0.0070095,-0.016625
-0.13257,-0.025128,-0.027209
-0.14351,-0.0049282,-0.067242
-0.13341,-0.011383,-0.0058327
-0.14933,-0.053549,-0.020752
-0.098849,-0.0065827,0.00062179
-0.14496,-0.030592,-0.040797
